timestamp,tag,major,room,rssi,distance,raw_distance,mac
2026-04-28T16:42:27.618018,Tag-B,40604,unknown,-89.67,13.67,,f7e6ef23cda5
2026-04-28T16:42:32.427163,Tag-B,40604,unknown,-88.67,12.55,,f7e6ef23cda5
2026-04-28T16:42:39.943495,Tag-B,40604,unknown,-89.67,13.67,,f7e6ef23cda5
2026-04-28T16:42:49.331960,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:42:52.428236,Tag-B,40604,unknown,-91.33,15.76,,f7e6ef23cda5
2026-04-28T16:42:57.621167,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T16:43:27.444675,Tag-B,40604,unknown,-90.0,14.07,,f7e6ef23cda5
2026-04-28T16:43:40.053612,Tag-B,40604,unknown,-86.5,10.44,,f7e6ef23cda5
2026-04-28T16:43:44.964505,Tag-B,40604,unknown,-87.5,11.36,,f7e6ef23cda5
2026-04-28T16:43:52.407893,Tag-B,40604,unknown,-87.33,11.2,,f7e6ef23cda5
2026-04-28T16:43:58.569850,Tag-B,40604,unknown,-88.67,12.55,,f7e6ef23cda5
2026-04-28T16:44:04.910277,Tag-B,40604,unknown,-88.67,12.55,,f7e6ef23cda5
2026-04-28T16:44:09.918125,Tag-B,40604,unknown,-91.33,15.76,,f7e6ef23cda5
2026-04-28T16:44:27.417729,Tag-B,40604,unknown,-91.5,15.98,,f7e6ef23cda5
2026-04-28T16:44:39.920002,Tag-B,40604,unknown,-90.0,14.07,,f7e6ef23cda5
2026-04-28T16:44:52.420200,Tag-B,40604,unknown,-90.0,14.07,,f7e6ef23cda5
2026-04-28T16:45:04.908935,Tag-B,40604,unknown,-88.5,12.38,,f7e6ef23cda5
2026-04-28T16:45:09.920672,Tag-B,40604,unknown,-91.5,15.98,,f7e6ef23cda5
2026-04-28T16:45:19.342583,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:45:34.908493,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T16:45:39.928394,Tag-B,40604,unknown,-89.33,13.29,,f7e6ef23cda5
2026-04-28T16:45:47.494281,Tag-B,40604,unknown,-89.67,13.67,,f7e6ef23cda5
2026-04-28T16:45:52.512839,Tag-B,40604,unknown,-89.67,13.67,,f7e6ef23cda5
2026-04-28T16:45:57.436575,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T16:46:14.441256,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
